Location,General government expenditure,Per capita government expenditure on health (PPP int. $),Per capita government expenditure on health at average exchange rate (US$),Per capita total expenditure on health (PPP int. $),Per capita total expenditure on health at average exchange rate (US$),Private expenditure on health as percentage of total expenditure on health,Private prepaid plans as percentage of private expenditure on health,Total expenditure on health as percentage of gross domestic product
Qatar,0.10,1115.00,2151.00,1426.00,2753.00,0.22,,0.04
Niue,0.11,294.00,1030.00,298.00,1045.00,0.01,0.00,0.14
Iraq,0.03,90.00,49.00,124.00,67.00,0.28,,0.04
Afghanistan,0.04,8.00,6.00,29.00,23.00,0.73,0.00,0.05
Albania,0.11,127.00,62.00,358.00,174.00,0.65,0.00,0.06
Algeria,0.10,146.00,95.00,188.00,123.00,0.23,0.05,0.04
Andorra,0.23,2054.00,1987.00,2910.00,2815.00,0.29,0.25,0.06
Angola,0.05,61.00,62.00,71.00,71.00,0.13,0.00,0.03
Antigua and Barbuda,0.11,439.00,348.00,652.00,517.00,0.33,0.13,0.05
Argentina,0.14,758.00,251.00,1665.00,551.00,0.55,0.51,0.10
Armenia,0.10,112.00,41.00,272.00,99.00,0.59,0.00,0.05
Australia,0.17,2097.00,2227.00,3122.00,3316.00,0.33,0.22,0.09
Austria,0.16,2729.00,2975.00,3545.00,3864.00,0.23,0.23,0.10
Azerbaijan,0.04,67.00,27.00,218.00,86.00,0.69,0.00,0.03
Bahamas,0.14,775.00,670.00,1516.00,1311.00,0.49,0.58,0.07
Bahrain,0.10,669.00,538.00,1008.00,810.00,0.34,0.13,0.04
Bangladesh,0.07,26.00,5.00,69.00,13.00,0.63,0.00,0.03
Barbados,0.12,722.00,490.00,1155.00,785.00,0.38,0.21,0.07
Belarus,0.10,428.00,183.00,572.00,244.00,0.25,0.00,0.06
Belgium,0.14,2264.00,2536.00,3183.00,3565.00,0.29,0.19,0.10
Belize,0.11,254.00,136.00,426.00,229.00,0.41,,0.05
Benin,0.13,25.00,15.00,46.00,29.00,0.47,0.00,0.05
Bhutan,0.07,73.00,44.00,107.00,65.00,0.31,0.00,0.05
Bolivia,0.12,128.00,50.00,204.00,79.00,0.37,0.10,0.07
Bosnia and Herzegovina,0.14,454.00,147.00,794.00,258.00,0.43,,0.08
Botswana,0.18,487.00,290.00,635.00,378.00,0.23,0.05,0.07
Brazil,0.07,367.00,204.00,765.00,426.00,0.52,0.34,0.08
Brunei Darussalam,0.05,314.00,433.00,394.00,543.00,0.20,0.01,0.02
Bulgaria,0.12,443.00,169.00,741.00,283.00,0.40,0.01,0.07
Burkina Faso,0.16,50.00,15.00,87.00,27.00,0.43,0.02,0.06
Burundi,0.02,4.00,1.00,15.00,4.00,0.75,,0.03
Cambodia,0.11,43.00,8.00,167.00,30.00,0.74,0.00,0.06
Cameroon,0.09,23.00,14.00,80.00,51.00,0.72,,0.05
Canada,0.18,2585.00,2754.00,3672.00,3912.00,0.30,0.43,0.10
Cape Verde,0.13,227.00,105.00,278.00,129.00,0.19,0.00,0.06
Central African Republic,0.11,20.00,5.00,55.00,14.00,0.64,,0.04
Chad,0.10,14.00,8.00,40.00,22.00,0.64,0.00,0.04
Chile,0.14,367.00,249.00,697.00,473.00,0.47,0.45,0.05
China,0.10,144.00,38.00,342.00,90.00,0.58,0.06,0.05
Colombia,0.17,534.00,185.00,626.00,217.00,0.15,0.56,0.07
Comoros,0.08,19.00,9.00,35.00,16.00,0.45,0.00,0.03
Congo,0.04,13.00,17.00,31.00,42.00,0.59,,0.02
Cook Islands,0.12,518.00,390.00,566.00,427.00,0.09,0.00,0.05
Costa Rica,0.22,565.00,269.00,743.00,353.00,0.24,0.11,0.07
Cote d'Ivoire,0.04,15.00,8.00,66.00,35.00,0.77,0.12,0.04
Croatia,0.14,869.00,579.00,1084.00,722.00,0.20,0.06,0.08
Cuba,0.11,329.00,322.00,363.00,355.00,0.09,0.00,0.07
Cyprus,0.06,759.00,663.00,1696.00,1483.00,0.55,0.12,0.06
Czech Republic,0.14,1309.00,829.00,1490.00,943.00,0.12,0.02,0.07
Democratic People's Republic of Korea,0.06,42.00,0.00,49.00,0.00,0.14,0.00,0.04
Democratic Republic of the Congo,0.07,7.00,2.00,18.00,6.00,0.63,,0.04
Denmark,0.16,2812.00,4054.00,3349.00,4828.00,0.16,0.10,0.10
